,submission_id,topic_champion
190,nzmdqx,shaco
191,nzmdbj,shaco
192,nzmcaj,aatrox
192,nzmcaj,ahri
193,nzmade,aatrox
193,nzmade,ahri
194,nzm91x,graves
194,nzm91x,mordekaiser
195,nzm4yw,shaco
196,nzm3a0,katarina
197,nzm0nm,miss fortune
198,nzm0ng,aatrox
198,nzm0ng,ahri
199,nzlwgi,aatrox
199,nzlwgi,ahri
200,nzlvqx,aatrox
200,nzlvqx,ahri
201,nzlv4w,udyr
202,nzlslp,aatrox
202,nzlslp,ahri
203,nzllil,kha'zix
204,nzlkwt,taliyah
204,nzlkwt,veigar
205,nzlhc7,vi
206,nzlgre,aatrox
206,nzlgre,ahri
207,nzlfnd,aatrox
207,nzlfnd,ahri
208,nzl9uq,aatrox
208,nzl9uq,ahri
209,nzl76l,aatrox
209,nzl76l,ahri
210,nzl3f4,aatrox
210,nzl3f4,ahri
211,nzkuw7,garen
211,nzkuw7,nasus
212,nzktwe,aatrox
212,nzktwe,ahri
213,nzkslh,aatrox
213,nzkslh,ahri
214,nzkp80,dr. mundo
215,nzkncz,rell
216,nzkjz3,aatrox
216,nzkjz3,ahri
217,nzkhy8,aatrox
217,nzkhy8,ahri
218,nzkert,karthus
219,nzkdth,ezreal
220,nzkbqe,aatrox
220,nzkbqe,ahri
221,nzk96v,aatrox
221,nzk96v,ahri
222,nzk5iz,aatrox
222,nzk5iz,ahri
223,nzk3u0,aatrox
223,nzk3u0,ahri
224,nzk0gg,miss fortune
225,nzjw4y,varus
226,nzjq2g,aatrox
226,nzjq2g,ahri
227,nzjkf8,ornn
227,nzjkf8,yone
228,nzjgna,sett
229,nzjepw,aatrox
229,nzjepw,ahri
230,nzjd5g,aatrox
230,nzjd5g,ahri
231,nzjb92,fiora
232,nzja87,akali
233,nzj9rd,aatrox
233,nzj9rd,ahri
234,nzj99f,aatrox
234,nzj99f,ahri
235,nzj8tv,aatrox
235,nzj8tv,ahri
236,nzj8n7,aatrox
236,nzj8n7,ahri
237,nzj323,aatrox
237,nzj323,ahri
238,nzj1un,aatrox
238,nzj1un,ahri
239,nzj0ez,aatrox
239,nzj0ez,ahri
240,nziyqd,aatrox
240,nziyqd,ahri
241,nzit6k,tryndamere
242,nzirlt,aatrox
242,nzirlt,ahri
243,nzirfh,twitch
244,nzir3f,aatrox
244,nzir3f,ahri
245,nzipsx,sett
246,nzipn7,aatrox
246,nzipn7,ahri
247,nziod0,aatrox
247,nziod0,ahri
248,nzi83o,aatrox
248,nzi83o,ahri
249,nzi78h,aatrox
249,nzi78h,ahri
250,nzi5gm,aatrox
250,nzi5gm,ahri
251,nzi3td,aatrox
251,nzi3td,ahri
252,nzhwn4,akali
253,nzhv5t,aatrox
253,nzhv5t,ahri
254,nzhojz,aatrox
254,nzhojz,ahri
255,nzhogx,olaf
256,nzho98,aatrox
256,nzho98,ahri
257,nzhlt4,hecarim
258,nzhk2e,aatrox
258,nzhk2e,ahri
259,nzhg73,nasus
260,nzhd56,pyke
261,nzhame,aatrox
261,nzhame,ahri
262,nzh659,sylas
263,nzh1sg,aatrox
263,nzh1sg,ahri
264,nzgylr,aatrox
264,nzgylr,ahri
265,nzgy85,shen
266,nzgx83,aatrox
266,nzgx83,ahri
267,nzgvhe,annie
267,nzgvhe,karthus
268,nzguxs,aurelion sol
268,nzguxs,sona
269,nzgubd,aatrox
269,nzgubd,ahri
270,nzgtsu,riven
271,nzgp42,aatrox
271,nzgp42,ahri
272,nzgm7y,aatrox
272,nzgm7y,ahri
273,nzgj4x,aatrox
273,nzgj4x,ahri
274,nzgivh,aatrox
274,nzgivh,ahri
275,nzgb7g,twitch
276,nzfzh5,aatrox
276,nzfzh5,ahri
277,nzfy90,sivir
278,nzfw99,aatrox
278,nzfw99,ahri
279,nzfusr,aatrox
279,nzfusr,ahri
280,nzfuf0,zed
281,nzfr00,akali
282,nzfmym,dr. mundo
283,nzffnt,veigar
283,nzffnt,xerath
284,nzfe5s,aatrox
284,nzfe5s,ahri
285,nzfbqj,jinx
285,nzfbqj,swain
286,nzf8pm,janna
287,nzf3w3,zoe
288,nzf2bb,amumu
289,nzey9z,aatrox
289,nzey9z,ahri
290,nzer3d,bard
291,nzekej,aatrox
291,nzekej,ahri
292,nzeix9,xin zhao
293,nzeh86,aatrox
293,nzeh86,ahri
294,nzee4d,aatrox
294,nzee4d,ahri
295,nzee2s,skarner
296,nze6sd,aatrox
296,nze6sd,ahri
297,nze0hx,aatrox
297,nze0hx,ahri
298,nzdxy0,sett
299,nzdsdz,aatrox
299,nzdsdz,ahri
300,nzdn85,aatrox
300,nzdn85,ahri
301,nzdhhl,aatrox
301,nzdhhl,ahri
302,nzdhbg,aatrox
302,nzdhbg,ahri
303,nzdgeb,sett
304,nzdfw0,viego
305,nzda5b,aatrox
305,nzda5b,ahri
306,nzcxxr,aatrox
306,nzcxxr,ahri
307,nzcu8i,anivia
307,nzcu8i,azir
308,nzcta0,cho'gath
309,nzcsgp,aatrox
309,nzcsgp,ahri
310,nzcpps,aatrox
310,nzcpps,ahri
311,nzcnc3,aatrox
311,nzcnc3,ahri
312,nzchqd,aatrox
312,nzchqd,ahri
313,nzcghm,yasuo
314,nzcezg,aatrox
314,nzcezg,ahri
315,nzcd9c,aatrox
315,nzcd9c,ahri
316,nzc8mm,aatrox
316,nzc8mm,ahri
317,nzc87v,aatrox
317,nzc87v,ahri
318,nzc2mo,tristana
319,nzbtvk,aatrox
319,nzbtvk,ahri
320,nzbqoh,aatrox
320,nzbqoh,ahri
321,nzbmhw,aatrox
321,nzbmhw,ahri
322,nzb2vz,leblanc
323,nzb2fj,aatrox
323,nzb2fj,ahri
324,nzb0d1,aatrox
324,nzb0d1,ahri
325,nzavze,aatrox
325,nzavze,ahri
326,nzau0t,viego
327,nzarw5,aatrox
327,nzarw5,ahri
328,nzaous,yone
329,nzaml8,aatrox
329,nzaml8,ahri
330,nzald4,jayce
330,nzald4,gwen
331,nzajoq,dr. mundo
332,nzagwv,master yi
333,nzafth,aatrox
333,nzafth,ahri
334,nzadf1,nocturne
335,nzad6z,aatrox
335,nzad6z,ahri
336,nzaah5,master yi
337,nza4ut,sylas
338,nz9wrv,miss fortune
339,nz9v4i,aatrox
339,nz9v4i,ahri
340,nz9rs0,jinx
340,nz9rs0,lux
341,nz9ovm,aatrox
341,nz9ovm,ahri
342,nz9k8b,anivia
343,nz9jk6,aatrox
343,nz9jk6,ahri
344,nz9e72,master yi
345,nz9c28,aatrox
345,nz9c28,ahri
346,nz99e3,gwen
347,nz92se,aatrox
347,nz92se,ahri
348,nz8xdr,dr. mundo
349,nz8ryt,aatrox
349,nz8ryt,ahri
350,nz8rw0,aatrox
350,nz8rw0,ahri
351,nz8pw8,aatrox
351,nz8pw8,ahri
352,nz8kjh,senna
353,nz8iwi,aatrox
353,nz8iwi,ahri
354,nz891w,dr. mundo
355,nz867b,akali
356,nz84g3,vayne
357,nz83ld,aatrox
357,nz83ld,ahri
358,nz80e1,aatrox
358,nz80e1,ahri
359,nz7r6c,aatrox
359,nz7r6c,ahri
360,nz7qqc,aatrox
360,nz7qqc,ahri
361,nz7nt5,garen
362,nz7nhz,leona
363,nz7kbj,aatrox
363,nz7kbj,ahri
364,nz7jwj,aatrox
364,nz7jwj,ahri
365,nz7gae,malphite
366,nz7d4k,aatrox
366,nz7d4k,ahri
367,nz7cxa,morgana
367,nz7cxa,shaco
368,nz7cwa,tahm kench
369,nz7cdh,aatrox
369,nz7cdh,ahri
370,nz7b33,lulu
371,nz73eq,leona
371,nz73eq,samira
372,nz6wkc,jinx
373,nz6wix,akali
374,nz6rak,aatrox
374,nz6rak,ahri
375,nz6qex,aatrox
375,nz6qex,ahri
376,nz6k75,aatrox
376,nz6k75,ahri
377,nz6jda,akali
377,nz6jda,fizz
378,nz6gww,aatrox
378,nz6gww,ahri
379,nz6dt0,aatrox
379,nz6dt0,ahri
380,nz6c7d,brand
381,nz61ro,aatrox
381,nz61ro,ahri
382,nz61jm,sett
383,nz609o,aatrox
383,nz609o,ahri
384,nz602f,ekko
385,nz5x2q,kindred
386,nz5wsj,aatrox
386,nz5wsj,ahri
387,nz5tc9,master yi
388,nz5t8a,aatrox
388,nz5t8a,ahri
389,nz5otv,aatrox
389,nz5otv,ahri
390,nz5oc5,aatrox
390,nz5oc5,ahri
391,nz5jgk,xin zhao
392,nz5ipi,lee sin
393,nz5fsn,aatrox
393,nz5fsn,ahri
394,nz5evl,aatrox
394,nz5evl,ahri
395,nz5e9y,aatrox
395,nz5e9y,ahri
396,nz5dwl,aatrox
396,nz5dwl,ahri
397,nz57tt,aatrox
397,nz57tt,ahri
398,nz56ug,aatrox
398,nz56ug,ahri
399,nz527n,aatrox
399,nz527n,ahri
400,nz4xk1,aatrox
400,nz4xk1,ahri
401,nz4uk6,aatrox
401,nz4uk6,ahri
